Carimbo de data/hora,Com que frequência costuma jogar games?,Idade (anos):,Gênero:,Estado de residência?,Situação atual,Grau de escolaridade,Qual plataforma prefere usar para jogar?,"Você conhece os componentes do seu computador (Processador, Placa de Vídeo e Memória RAM) ?",Quantos Gigabytes de memória RAM?,Qual a marca do seu processador?,Qual o modelo do processador?,Qual a marca da sua placa de Vídeo?,Qual o modelo da sua placa de vídeo?,Quantos Gigabytes possui sua placa de video?,A maioria das suas peças foram compradas em:,Qual console você possui?,O seu console mais recente foi comprado em:,Qual seu estilo de jogo favorito?,Qual seu jogo preferido?,"Em média, quanto costuma gastar mensalmente com jogos?"
17/06/2019 21:20:52,Frequentemente,21,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,I5 8400,Nvidia,GTX 1050ti,4 GB,Loja física,,,"MOBA, RPG/MMORPG, Sobrevivência",League of Legends,R$1 a R$50
17/06/2019 21:26:28,Frequentemente,20,Mulher,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,Intel,Intel core i3 CPU,AMD,"Sei nao, uma velha. O Lyncoln quem sabe ",2 GB,Loja física,,,"ARCADE, Aventura, MOBA, Mundo Aberto, RPG/MMORPG, Sobrevivência",League of Legends pq e gratis <3 ,Nada
17/06/2019 21:26:46,Regularmente,18,Homem,Paraná – PR,Estuda e Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,8 GB,Intel,I5 8700k,Nvidia,GTX 1070,8 GB,Loja física,,,FPS/TPS,Counter-strike Global offensive,Nada
17/06/2019 21:27:12,Frequentemente,21,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,I3,Nvidia,750TI,2 GB,Loja física,,,"ARCADE, Aventura, Corrida, Esporte, FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Gran turismo 2,R$1 a R$50
17/06/2019 21:28:35,Raramente,22,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,"Corrida, Esporte, Luta, RPG/MMORPG",Call of Duty,Nada
17/06/2019 21:28:45,Frequentemente,24,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,12 GB,Intel,i5 8400,Nvidia,GTX 750,1 GB,Loja virtual,,,"FPS/TPS, RPG/MMORPG, Simulação",CS,Nada
17/06/2019 21:29:35,Frequentemente,22,Homem,Rio Grande do Norte – RN,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,I5 4400,Nvidia,GTX 1060,6 GB,Loja física,,,"ARCADE, Aventura, Corrida, MOBA, Mundo Aberto, RPG/MMORPG, Simulação",Fortnite,R$51 a R$100
17/06/2019 21:29:36,Frequentemente,21,Homem,Rio de Janeiro – RJ,Só Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,16 GB,Intel,i5 8400,Nvidia,GTX 960,2 GB,Loja virtual,,,"Aventura, FPS/TPS, Mundo Aberto, RPG/MMORPG, Sobrevivência",Rust,R$1 a R$50
17/06/2019 21:30:25,Frequentemente,19,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,12 GB,Intel,I3 2130,AMD,Rx 570,4 GB,Loja virtual,,,"FPS/TPS, Mundo Aberto",Atualmente rainbow six ,Nada
17/06/2019 21:30:28,Frequentemente,19,Homem,Rio de Janeiro – RJ,Estuda e Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,12 GB,Intel,I3 2130,AMD,Rx 570,4 GB,Loja virtual,,,"FPS/TPS, Mundo Aberto",Atualmente rainbow six ,Nada
17/06/2019 21:32:03,Regularmente,19,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,"Luta, MOBA",Arena of Valor,Nada
17/06/2019 21:34:22,Frequentemente,21,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Outros (Celular),,,,,,,,,,,"ARCADE, Aventura, Luta, RPG/MMORPG, Sobrevivência","Archero, realm defense ",Nada
17/06/2019 21:34:23,Frequentemente,22,Homem,São Paulo – SP,Só Trabalha,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,i5 3330,Nvidia,GT 740,1 GB,Loja física,,,RPG/MMORPG,Albion,R$1 a R$50
17/06/2019 21:37:54,Frequentemente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Console (video game),,,,,,,,,XBOX ONE,Loja física,"ARCADE, Aventura, FPS/TPS, MOBA, RPG/MMORPG, Simulação, Terror",GEARS OF WAR,Nada
17/06/2019 21:38:13,Frequentemente,22,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,fx8320e,Nvidia,Gtx 960,2 GB,Loja virtual,,,"FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Dante's Inferno ,R$1 a R$50
17/06/2019 21:38:40,Regularmente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,A8 7600,Nvidia,GTX 750ti,2 GB,Loja física,,,"ARCADE, Aventura, FPS/TPS, Luta, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",TES V SKYRIM,R$1 a R$50
17/06/2019 21:39:56,Frequentemente,21,Homem,Ceará – CE,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,AMD,Rezen 5 1600,AMD,Rx 570 ,4 GB,Loja física,,,"FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG",MMORPG,Nada
17/06/2019 21:40:41,Frequentemente,16,Homem,São Paulo – SP,Só Estuda,Ensino Fundamental Completo,Desktop (PC de mesa),Sim,8 GB,Intel,I7-4510U,Nvidia,GeForce 840M,2 GB,Loja física,,,RPG/MMORPG,Guild Wars 2,R$1 a R$50
17/06/2019 21:40:50,Frequentemente,19,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,4440,Nvidia,GTX 750 Ti,2 GB,Loja física,,,"Aventura, RPG/MMORPG",Blade and Soul,R$1 a R$50
17/06/2019 21:41:18,Frequentemente,21,Homem,Mato Grosso do Sul – MS,Estuda e Trabalha,Ensino Superior Completo,Console (video game),,,,,,,,,"PSP, Playstation 3, Playstation 4, XBOX 360, XBOX ONE",Loja física,Mundo Aberto,The legende of Zelda: ocarina of time ,mais de R$200
17/06/2019 21:41:26,Frequentemente,19,Mulher,Rio de Janeiro – RJ,Só Estuda,Ensino Superior Incompleto,Desktop (PC de mesa),Sim,8 GB,Intel,i3 7400,Nvidia,Gtx 660 ti,2 GB,Loja virtual,,,"Aventura, Mundo Aberto, RPG/MMORPG, Simulação",WoW,Nada
17/06/2019 21:43:23,Frequentemente,21,Homem,Rio de Janeiro – RJ,Só Estuda,Ensino Médio Completo,Console (video game),,,,,,,,,Playstation 3,Loja física,"Aventura, FPS/TPS, Luta, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",Far Cry 3,R$51 a R$100
17/06/2019 21:44:10,Frequentemente,17,Homem,Bahia – BA,Só Trabalha,Ensino Médio Completo,Desktop (PC de mesa),Sim,4 GB,Intel,Intel Celeron 400,AMD,Placa integrada intel,2 GB,Loja física,,,"ARCADE, Aventura, Corrida, Esporte, FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência",LOL,Nada
