"Marca";"modelo_serie";"Gbs";"Preço";"Referência";"carimbo_de_data_hora";"com_que_frequencia_costuma_jogar_games";"idade_anos";"genero";"estado_de_residencia";"situacao_atual";"grau_de_escolaridade";"qual_plataforma_prefere_usar_para_jogar";"voce_conhece_os_componentes_do_seu_computador_processador_placa_de_video_e_memoria_ram";"quantos_gigabytes_de_memoria_ram";"qual_a_marca_do_seu_processador";"qual_o_modelo_do_processador";"a_maioria_das_suas_pecas_foram_compradas_em";"qual_console_voce_possui";"o_seu_console_mais_recente_foi_comprado_em";"qual_seu_estilo_de_jogo_favorito";"qual_seu_jogo_preferido";"em_media_quanto_costuma_gastar_mensalmente_com_jogos"
"nvidia";"gt 210";"1 GB";"200";"https://produto.mercadolivre.com.br/MLB-994418778-placa-de-video-nvidia-gt-210-1gb-64-bits-mega-oferta-_JM";2019-06-20 18:46:23;"Regularmente";16;"Homem";"Paraná – PR";"Só Estuda";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"2 GB";"Intel";"Pentium";"Loja física";NA;NA;"Aventura, Corrida, Esporte, FPS/TPS, Luta, MOBA, Mundo Aberto, RPG/MMORPG, Sobrevivência";"God of war";"R$51 a R$100"
"nvidia";"gt 210";"1 GB";"200";"https://produto.mercadolivre.com.br/MLB-994418778-placa-de-video-nvidia-gt-210-1gb-64-bits-mega-oferta-_JM";2019-06-21 21:12:14;"Regularmente";18;"Homem";"Santa Catarina – SC";"Só Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"6 GB";"Intel";"E3400";"Loja física";NA;NA;"RPG/MMORPG";"World of tanks";"Nada"
"nvidia";"gt 630";"1 GB";"118.15";"https://pt.aliexpress.com/item/PLACA-De-V-deo-GIGABYTE-Original-GT630-1-GB-128Bit-GDDR3-Placas-Gr-ficas-para-Placas/32870795054.html?albbt=Google_7_shopping&isdl=y&slnk=&albslr=231381717&src=google&acnt=494-037-6276&aff_platform=google&crea=pt32870795054&netw=u&plac=&albcp=1626568036&mtctp=&aff_short_key=UneMJZVf&gclid=EAIaIQobChMIysDL-oac4wIVFQeRCh1UZw2uEAYYBiABEgIiQvD_BwE&albag=65942329430&albch=shopping&albagn=888888&trgt=296904914040&device=c&gclsrc=aw.ds";2019-06-21 21:47:02;"Frequentemente";18;"Homem";"São Paulo – SP";"Estuda e Trabalha";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I5 2500K";"Loja física";NA;NA;"FPS/TPS, Sobrevivência";"Smite";"Nada"
"nvidia";"gt 710";"1 GB";"219";"https://produto.mercadolivre.com.br/MLB-968748197-placa-de-video-nvidia-geforce-gt710-1gb-ddr3-64bits-_JM";2019-06-20 19:05:27;"Frequentemente";15;"Homem";"São Paulo – SP";"Só Estuda";"Ensino Médio Incompleto";"Desktop (PC de mesa)";"Sim";"4 GB";"Intel";"Inte Pentium dual core";"Loja física";NA;NA;"FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG, Simulação, Estratégia";"LoL";"R$1 a R$50"
"nvidia";"gt 730";"2 GB";"329";"https://produto.mercadolivre.com.br/MLB-1060751904-placa-de-video-geforce-nvidia-gt-730-2gb-sddr3-128bit-nfe-_JM?quantity=1";2019-06-20 21:53:03;"Frequentemente";18;"Homem";"Minas Gerais – MG";"Não Estuda e Não Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i5 2310";"Loja física";NA;NA;"FPS/TPS";"CS:GO";"Nada"
"nvidia";"gt 730";"2 GB";"329";"https://produto.mercadolivre.com.br/MLB-1060751904-placa-de-video-geforce-nvidia-gt-730-2gb-sddr3-128bit-nfe-_JM?quantity=1";2019-06-21 01:04:15;"Regularmente";21;"Homem";"Minas Gerais – MG";"Só Estuda";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"4 GB";"Intel";"I3 2100";"Loja física";NA;NA;"FPS/TPS, RPG/MMORPG";"Elder scrolls online";"Nada"
"nvidia";"gt 740";"1 GB";"426.06";"https://produto.mercadolivre.com.br/MLB-1184432278-placa-de-video-vga-gt740-1gb-128-bits-ddr5-_JM";2019-06-17 21:34:22;"Frequentemente";22;"Homem";"São Paulo – SP";"Só Trabalha";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i5 3330";"Loja física";NA;NA;"RPG/MMORPG";"Albion";"R$1 a R$50"
"nvidia";"gt 740";"2 GB";"379";"https://produto.mercadolivre.com.br/MLB-1192519711-vga-gigabyte-nvidia-gt740-2gb-ddr5-128-bits-com-caixa-_JM";2019-06-21 00:44:04;"Regularmente";15;"Homem";"Rio Grande do Sul – RS";"Só Estuda";"Ensino Fundamental Completo";"Desktop (PC de mesa)";"Sim";"4 GB";"Intel";"i3 4170";"Loja virtual";NA;NA;"Aventura, Corrida, FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência, Terror";"Destiny";"Nada"
"nvidia";"gt 1030";"2 GB";"507.73";"https://produto.mercadolivre.com.br/MLB-946054253-placa-de-video-gigabyte-geforce-gt-1030-lp-2gb-ddr5-64-bits-_JM?quantity=1";2019-06-20 17:59:26;"Frequentemente";17;"Homem";"Mato Grosso do Sul – MS";"Só Estuda";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"G4560";"Loja virtual";NA;NA;"FPS/TPS, RPG/MMORPG";"LOL e combat arms";"R$1 a R$50"
"nvidia";"gt 1030";"2 GB";"507.73";"https://produto.mercadolivre.com.br/MLB-946054253-placa-de-video-gigabyte-geforce-gt-1030-lp-2gb-ddr5-64-bits-_JM?quantity=1";2019-06-21 22:09:14;"Frequentemente";20;"Mulher";"Paraná – PR";"Só Trabalha";"Ensino Médio Incompleto";"Desktop (PC de mesa)";"Sim";"4 GB";"Intel";"dual core g620 uma bosta";"Loja virtual";NA;NA;"FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência";"overwatch";"R$1 a R$50"
